# Data format: "%int(Month)/%int(Day)/%int(Year) %int(Hours):%int(Minutes):%float(Seconds) %float(StepIndex),%float(StepHeading),%float(StepDistanceX),%float(StepDistanceY),%float(StepDistance),%float(StepTime),%float(StepAmplitude),%float(StepDutyCucle),%float(StepRatio),%float(Altitude),%float(Confidence),%float(AltitudeOffset) %int(BatteryLevel) %float(RawGyroX),%float(RawGyroY),%float(RawGyroZ) %float(RawAccelX),%float(RawAccelY),%float(RawAccelZ) %float(RawCompassX),%float(RawCompassY),%float(RawCompassZ) %float(CorrectedGyroX),%float(CorrectedGyroY),%float(CorrectedGyroZ) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ) %float(CorrectedCompassX),%float(CorrectedCompassY),%float(CorrectedCompassZ) %float(LinearAccelX),%float(LinearAccelY),%float(LinearAccelZ)"
06/24/24 13:44:23.679245 99.00000,311.48999,0.35774,-0.40450,0.54000,0.40500,0.01400,0.86200,1.06400,237.33707,61.44000,-0.44897 98 0.05110,0.02981,-0.25977 -0.12378,-0.20752,0.93463 0.04500,0.28050,-0.49800 0.05110,0.02981,-0.25977 -0.12378,-0.20752,0.93463 0.05040,0.27943,-0.49728 -0.01760,-0.03944,-0.09450
06/24/24 13:44:23.723488 99.00000,311.48999,0.35774,-0.40450,0.54000,0.40500,0.01400,0.86200,1.06400,237.33707,61.44000,-0.44897 98 -0.01384,0.04365,-0.37368 -0.10620,-0.25165,0.97260 0.04200,0.28350,-0.50250 -0.01384,0.04365,-0.37368 -0.10620,-0.25165,0.97260 0.04688,0.28059,-0.49927 -0.03379,0.00071,-0.13409
06/24/24 13:44:23.767328 99.00000,311.48999,0.35774,-0.40450,0.54000,0.40500,0.01400,0.86200,1.06400,237.33707,61.44000,-0.44897 98 0.02662,0.08623,-0.49079 -0.10004,-0.26306,0.95129 0.02850,0.28350,-0.49800 0.02662,0.08623,-0.49079 -0.10004,-0.26306,0.95129 0.04105,0.28220,-0.50022 -0.03002,-0.01902,-0.14475
06/24/24 13:44:23.811586 99.00000,311.48999,0.35774,-0.40450,0.54000,0.40500,0.01400,0.86200,1.06400,237.33707,61.44000,-0.44897 98 0.06175,0.10220,-0.61216 -0.12494,-0.24811,0.95758 0.02400,0.28800,-0.50250 0.06175,0.10220,-0.61216 -0.12494,-0.24811,0.95758 0.03427,0.28452,-0.50056 -0.00343,-0.01026,-0.12053
06/24/24 13:44:23.855797 99.00000,311.48999,0.35774,-0.40450,0.54000,0.40500,0.01400,0.86200,1.06400,237.33707,61.44000,-0.44897 98 0.08623,0.12030,-0.63025 -0.14728,-0.22174,0.93573 0.01950,0.28200,-0.49650 0.08623,0.12030,-0.63025 -0.14728,-0.22174,0.93573 0.02596,0.28447,-0.49966 0.02063,-0.03148,-0.08941
06/24/24 13:44:23.899662 99.00000,311.48999,0.35774,-0.40450,0.54000,0.40500,0.01400,0.86200,1.06400,237.33707,61.44000,-0.44897 98 0.07452,0.16182,-0.63558 -0.14496,-0.22198,0.95062 0.01050,0.29100,-0.50400 0.07452,0.16182,-0.63558 -0.14496,-0.22198,0.95062 0.01794,0.28797,-0.49756 0.01525,-0.01698,-0.08606
06/24/24 13:44:23.943871 99.00000,311.48999,0.35774,-0.40450,0.54000,0.40500,0.01400,0.86200,1.06400,237.33707,61.44000,-0.44897 98 0.02874,0.15543,-0.63025 -0.16376,-0.22699,0.96411 0.00900,0.29550,-0.50250 0.02874,0.15543,-0.63025 -0.16376,-0.22699,0.96411 0.01214,0.29217,-0.50096 0.03016,0.00018,-0.08117
06/24/24 13:44:23.987480 99.00000,311.48999,0.35774,-0.40450,0.54000,0.40500,0.01400,0.86200,1.06400,237.33707,61.44000,-0.44897 98 -0.00426,0.12456,-0.66752 -0.14154,-0.22339,0.94312 -0.00150,0.29250,-0.49950 -0.00426,0.12456,-0.66752 -0.14154,-0.22339,0.94312 0.00687,0.29309,-0.50006 0.01138,-0.02405,-0.08240
06/24/24 13:44:24.031878 99.00000,311.48999,0.35774,-0.40450,0.54000,0.40500,0.01400,0.86200,1.06400,237.33707,61.44000,-0.44897 98 -0.02981,0.14372,-0.66858 -0.14380,-0.23651,0.95007 -0.01050,0.29700,-0.49800 -0.02981,0.14372,-0.66858 -0.14380,-0.23651,0.95007 -0.00827,0.29505,-0.49802 0.01506,-0.01439,-0.08718
06/24/24 13:44:24.076115 99.00000,311.48999,0.35774,-0.40450,0.54000,0.40500,0.01400,0.86200,1.06400,237.33707,61.44000,-0.44897 98 0.00852,0.14159,-0.69839 -0.14575,-0.22986,0.96448 -0.02700,0.29700,-0.49500 0.00852,0.14159,-0.69839 -0.14575,-0.22986,0.96448 -0.01842,0.29648,-0.49780 0.01025,-0.00058,-0.07308
